Segment,Brand,PriceSegment,GlobalPriceSegment
Puree,Agusha,ECONOMY,ECONOMY
Puree,Babushkino Lukoshko,MAINSTREAM,MAINSTREAM
Puree,Bambolina,MAINSTREAM,MAINSTREAM
Puree,Bebi,PREMIUM,PREMIUM
Puree,Bebivita,MAINSTREAM,MAINSTREAM
Puree,Chudo-Chado,ECONOMY,ECONOMY
Puree,Chudo-chado,ECONOMY,ECONOMY
Puree,Dettka,ECONOMY,ECONOMY
Puree,Fruta Pyureshka,MAINSTREAM,MAINSTREAM
Puree,Frutek,MAINSTREAM,MAINSTREAM
Puree,Fruto Nyanya,ECONOMY,ECONOMY
Puree,Gerber,MAINSTREAM,MAINSTREAM
Puree,Hamanek,MAINSTREAM,MAINSTREAM
Puree,Hame,MAINSTREAM,MAINSTREAM
Puree,Heinz,PREMIUM,PREMIUM
Puree,Hipp,PREMIUM,PREMIUM
Puree,Humana,PREMIUM,PREMIUM
Puree,Kabrita,PREMIUM,PREMIUM
Puree,Karapuz,ECONOMY,ECONOMY
Puree,Krokha,PREMIUM,PREMIUM
Puree,Landi,MAINSTREAM,MAINSTREAM
Puree,Lozhka V Ladochke,PREMIUM,PREMIUM
Puree,Malen'koe Schast'e,MAINSTREAM,MAINSTREAM
Puree,Malyatko,ECONOMY,ECONOMY
Puree,Marmaluzi,MAINSTREAM,MAINSTREAM
Puree,Milupa,MAINSTREAM,MAINSTREAM
Puree,Nestle,MAINSTREAM,MAINSTREAM
Puree,Only Organic,ECONOMY,ECONOMY
Puree,Organic Star,PREMIUM,PREMIUM
Puree,Ponn,PREMIUM,PREMIUM
Puree,Rudolfs,PREMIUM,PREMIUM
Puree,Rum'yani Shchichky,ECONOMY,ECONOMY
Puree,Sady Pridon'ya,ECONOMY,ECONOMY
Puree,Semper,PREMIUM,PREMIUM
Puree,Spelenok,ECONOMY,ECONOMY
Puree,Tema,MAINSTREAM,MAINSTREAM
Puree,Toptyshka,ECONOMY,ECONOMY
Puree,Umnitsa,MAINSTREAM,MAINSTREAM
Puree,Vinni,ECONOMY,ECONOMY
Puree,Vita,ECONOMY,ECONOMY
IMF,Agusha,MAINSTREAM,NOT CLASSIFIED
IMF,Bebi,MAINSTREAM,ECONOMY
IMF,Bellakt,ECONOMY,ECONOMY
IMF,Friso,PREMIUM,PREMIUM
IMF,Frisolac,PREMIUM,PREMIUM
IMF,Gerber,PREMIUM,NOT CLASSIFIED
IMF,Hipp,PREMIUM,PREMIUM
IMF,Humana,PREMIUM,SUPER PREMIUM
IMF,Kabrita,PREMIUM,NOT CLASSIFIED
IMF,Karapuz,ECONOMY,ECONOMY
IMF,Lasana,PREMIUM,NOT CLASSIFIED
IMF,Malysh Kh,ECONOMY,ECONOMY
IMF,Malysh Istr,ECONOMY,ECONOMY
IMF,Malyutka,MAINSTREAM,ECONOMY
IMF,Malyutka Kh,ECONOMY,ECONOMY
IMF,Milupa,MAINSTREAM,MAINSTREAM
IMF,Moloko,ECONOMY,ECONOMY
IMF,Nan,PREMIUM,PREMIUM
IMF,Nenni,PREMIUM,SUPER PREMIUM
IMF,Nestle,MAINSTREAM,ECONOMY
IMF,Nestogen,MAINSTREAM,MAINSTREAM
IMF,Nutrilak,PREMIUM,NOT CLASSIFIED
IMF,Nutrilon,PREMIUM,PREMIUM
IMF,Semper,PREMIUM,NOT CLASSIFIED
IMF,Similac,PREMIUM,NOT CLASSIFIED
Dry Food,Agusha,MAINSTREAM,MAINSTREAM
Dry Food,Baby King,PREMIUM,PREMIUM
Dry Food,Bebi,MAINSTREAM,MAINSTREAM
Dry Food,Bebivita,MAINSTREAM,MAINSTREAM
Dry Food,Begemotik Bondi,ECONOMY,ECONOMY
Dry Food,Bellakt,ECONOMY,ECONOMY
Dry Food,Chipa Ekstramalyshok,ECONOMY,ECONOMY
Dry Food,Eldenele,ECONOMY,ECONOMY
Dry Food,Familia,PREMIUM,PREMIUM
Dry Food,Fleur Alpine,PREMIUM,PREMIUM
Dry Food,Friso,PREMIUM,PREMIUM
Dry Food,Fruto Nyanya,MAINSTREAM,MAINSTREAM
Dry Food,Heinz,MAINSTREAM,MAINSTREAM
Dry Food,Hipp,PREMIUM,PREMIUM
Dry Food,Humana,PREMIUM,PREMIUM
Dry Food,Kabrita,PREMIUM,PREMIUM
Dry Food,Karapuz,ECONOMY,ECONOMY
Dry Food,Lasana,PREMIUM,PREMIUM
Dry Food,Lino,MAINSTREAM,MAINSTREAM
Dry Food,Malyatko,ECONOMY,ECONOMY
Dry Food,Malysh,ECONOMY,ECONOMY
Dry Food,Malyshka,ECONOMY,ECONOMY
Dry Food,Malyshok,ECONOMY,ECONOMY
Dry Food,Malyutka,MAINSTREAM,MAINSTREAM
Dry Food,Marmaluzi,ECONOMY,ECONOMY
Dry Food,Milupa,MAINSTREAM,MAINSTREAM
Dry Food,Nestle,MAINSTREAM,MAINSTREAM
Dry Food,Nutrilon,PREMIUM,PREMIUM
Dry Food,Nyam-Nyam,ECONOMY,ECONOMY
Dry Food,Private label,MAINSTREAM,MAINSTREAM
Dry Food,Rasti Bol'shoi,ECONOMY,ECONOMY
Dry Food,Remedia,PREMIUM,PREMIUM
Dry Food,Semper,PREMIUM,PREMIUM
Dry Food,Smarty Family,PREMIUM,PREMIUM
Dry Food,Vinni,ECONOMY,ECONOMY
Dry Food,Wakodo,MAINSTREAM,MAINSTREAM
Dry Food,Zagora,ECONOMY,ECONOMY
